8768,High Court of American Samoa,Am. Samoa,961,Am. Samoa,1981-09-23,2003-12-03,345624
8769,Oregon Supreme Court,Or.,23837,Or.,1847-06-01,2017-09-21,60631
8770,United States Court of Appeals for the District of Columbia Circuit,D.C. Cir.,23878,U.S.,1920-11-08,2018-03-09,463
8771,United States Court of Appeals for the Tenth Circuit,10th Cir.,43150,U.S.,1929-06-05,2018-03-15,462
8772,Illinois Supreme Court,Ill.,49181,Ill.,1819-12-01,2011-05-19,29928
8774,New Jersey Supreme Court,N.J. Sup. Ct.,22027,N.J.,1789-04-01,1947-12-31,14217
8775,Superior Court of Pennsylvania,Pa. Super. Ct.,77265,Pa.,1895-11-18,2018-01-30,83918
8777,New Jersey Court of Chancery,N.J. Ch.,11384,N.J.,1830-01-01,2006-04-27,17090
8778,United States Court of Appeals for the Second Circuit,2d Cir.,68776,U.S.,1820-01-01,2018-03-16,466
8779,United States District Court for the Eastern District of Missouri,E.D. Mo.,5025,U.S.,1803-01-01,2017-12-29,1217
8780,Minnesota Supreme Court,Minn.,43562,Minn.,1830-05-01,2018-02-28,92732
8785,United States District Court for the Southern District of Mississippi,S.D. Miss.,2538,U.S.,1801-01-01,2017-09-19,1092
8790,Michigan Supreme Court,Mich.,51921,Mich.,1805-01-01,2016-12-09,87204
8791,New York Supreme Court,N.Y. Sup. Ct.,80221,N.Y.,1794-04-01,2017-11-21,32443
8793,Illinois Court of Claims,Ill. Ct. Cl.,9848,Ill.,1889-09-10,2001-05-03,92712
8796,Supreme Court of Georgia,Ga.,68950,Ga.,1808-06-08,2016-10-31,17103
8797,New Hampshire Supreme Court,N.H.,17932,N.H.,1855-12-01,2016-04-19,105092
8799,Court of Appeal of the State of California,Cal. Ct. App.,45829,Cal.,1910-03-10,2016-08-02,17214
8801,Connecticut Appellate Court,Conn. App. Ct.,15118,Conn.,1961-05-11,2014-05-06,123991
8802,North Dakota Supreme Court,N.D.,16548,N.D.,1807-11-08,2018-02-22,194607
8803,Connecticut Supreme Court,Conn.,17871,Conn.,1805-01-01,2012-03-13,69199
8805,"New Jersey Superior Court, Appellate Division",N.J. Super. Ct. App. Div.,20517,N.J.,1948-10-11,2018-01-23,16954
8807,Arizona Court of Appeals,Ariz. Ct. App.,14856,Ariz.,1965-02-02,2017-07-13,57559
8808,Arkansas Supreme Court,Ark.,50866,Ark.,1837-01-01,2018-02-08,36020
8809,United States Court of Appeals for the First Circuit,1st Cir.,21714,U.S.,1878-05-22,2018-02-02,467
8810,South Carolina Court of Appeals,S.C. Ct. App.,10394,S.C.,1796-01-01,2017-12-13,29968
8811,Oregon Court of Appeals,Or. Ct. App.,30645,Or.,1933-09-29,2017-09-20,76761
8814,Ohio Court of Appeals,Ohio Ct. App.,50435,Ohio,1846-01-17,2012-04-09,21914
8815,New Jersey Court of Errors and Appeals,N.J.,2308,N.J.,1821-11-01,1946-10-14,291123
8816,Texas Courts of Civil Appeals,Tex. Civ. App.,82269,Tex.,1885-10-14,2015-12-08,216175
8818,Court of Special Appeals of Maryland,Md. Ct. Spec. App.,10118,Md.,1967-02-02,2017-12-01,32308
8820,United States Court of Appeals for the Fifth Circuit,5th Cir.,102236,U.S.,1891-11-27,2018-03-15,460
8821,United States Court of Appeals for the Eighth Circuit,8th Cir.,60050,U.S.,1873-12-10,2018-03-14,457
8823,Court of Appeals of Maryland,Md.,30793,Md.,1658-01-01,2017-12-20,16435
8824,Oregon Tax Court,Or. T.C.,1270,Or.,1962-04-06,2006-04-20,216719
8825,Massachusetts Supreme Judicial Court,Mass.,61513,Mass.,1768-03-01,2016-07-20,17094
8826,United States Court of Appeals for the Ninth Circuit,9th Cir.,129072,U.S.,1854-04-29,2018-03-23,458
8829,Montana Supreme Court,Mont.,27103,Mont.,1868-12-01,2016-12-13,36290
8831,New York Circuit Court,N.Y. Cir. Ct.,111,N.Y.,1804-06-01,1895-11-01,201350
